"label","count","p50_ns","p95_ns","p99_ns","min_ns","max_ns","mean_ns","jitter_ns","fps_p50","tag","duration_s","mutex_total_timeouts","mutex_total_acquires","mutex_avg_acquire_us","zc_per_client","fence_total_waits","fence_total_stale","fence_clients","render_windows","render_capture_renders","render_client_renders","render_client_skips","render_capture_avg_us","render_client_avg_us","render_wait_avg_us"
"META","0","0","0","0","0","0","0","0","0","gauss2","60","0","0","0","0000026027A15C60:N/single_view;0000026027A43C60:N/single_view","2223","0","2","5","2423","0","2002","3825","0","2.4"
"present:ALL","2776","16126000","31972700","47900900","14095100","78856700","20925596","31774900","62","","","","","","","","","","","","","","","",""
"present:workspace","2776","16126000","31972700","47900900","14095100","78856700","20925596","31774900","62","","","","","","","","","","","","","","","",""
"frame:ALL","2358","39594500","63242000","73901800","18356800","2078840800","45026787","34307300","25.3","","","","","","","","","","","","","","","",""
"frame:0000026027A15C60","1177","39385100","63400300","73901800","18804600","2078840800","45064159","34516700","25.4","","","","","","","","","","","","","","","",""
"frame:0000026027A43C60","1181","39772500","62752000","72001300","18356800","2040856800","44989542","32228800","25.1","","","","","","","","","","","","","","","",""
