"source","client","idx","dt_ns"
"present","workspace","0","31194600"
"present","workspace","1","14750600"
"present","workspace","2","25745200"
"present","workspace","3","33413200"
"present","workspace","4","16632900"
"present","workspace","5","16001400"
"present","workspace","6","18400400"
"present","workspace","7","15277200"
"present","workspace","8","16483700"
"present","workspace","9","17994100"
"present","workspace","10","14521200"
"present","workspace","11","16969300"
"present","workspace","12","16267900"
"present","workspace","13","19025800"
"present","workspace","14","15035100"
"present","workspace","15","15570900"
"present","workspace","16","18636600"
"present","workspace","17","15522800"
"present","workspace","18","18184700"
"present","workspace","19","15227500"
"present","workspace","20","16151500"
"present","workspace","21","16049000"
"present","workspace","22","19511400"
"present","workspace","23","15953200"
"present","workspace","24","16572900"
"present","workspace","25","16055700"
"present","workspace","26","16233300"
"present","workspace","27","16793300"
"present","workspace","28","18869200"
"present","workspace","29","14515600"
"present","workspace","30","15929400"
"present","workspace","31","18216000"
"present","workspace","32","15852000"
"present","workspace","33","16989900"
"present","workspace","34","16607100"
"present","workspace","35","15977700"
"present","workspace","36","17435400"
"present","workspace","37","16608700"
"present","workspace","38","16891300"
"present","workspace","39","18593300"
"present","workspace","40","14473100"
"present","workspace","41","19907300"
"present","workspace","42","14835700"
"present","workspace","43","14478900"
"present","workspace","44","17652900"
"present","workspace","45","21144400"
"present","workspace","46","14981400"
"present","workspace","47","14422400"
"present","workspace","48","14819100"
"present","workspace","49","18555800"
"present","workspace","50","13904800"
"present","workspace","51","18429800"
"present","workspace","52","16182800"
"present","workspace","53","18905500"
"present","workspace","54","18025300"
"present","workspace","55","14288300"
"present","workspace","56","15412000"
"present","workspace","57","15989500"
"present","workspace","58","19442200"
"present","workspace","59","14650100"
"present","workspace","60","18145200"
"present","workspace","61","16877800"
"present","workspace","62","15301600"
"present","workspace","63","16940100"
"present","workspace","64","21473500"
"present","workspace","65","14556700"
"present","workspace","66","14874100"
"present","workspace","67","16289400"
"present","workspace","68","16542800"
"present","workspace","69","20393200"
"present","workspace","70","15073200"
"present","workspace","71","14645600"
"present","workspace","72","15501200"
"present","workspace","73","21207700"
"present","workspace","74","15884900"
"present","workspace","75","21680300"
