"label","count","p50_ns","p95_ns","p99_ns","min_ns","max_ns","mean_ns","jitter_ns","fps_p50","tag","duration_s","mutex_total_timeouts","mutex_total_acquires","mutex_avg_acquire_us","zc_per_client","fence_total_waits","fence_total_stale","fence_clients","render_windows","render_capture_renders","render_client_renders","render_client_skips","render_capture_avg_us","render_client_avg_us","render_wait_avg_us"
"META","0","0","0","0","0","0","0","0","0","phase3-render-diag","30","0","0","0","0000026C3CE70D00:N/workspace_mode;0000026C64410080:N/workspace_mode;0000026C644420F0:N/workspace_mode;0000026C6446C0D0:N/workspace_mode","1219","0","4","2","491","710","414","13405","16611.5","24894"
"present:ALL","1684","16656200","18030800","21681100","1101500","38926200","16698514","5024900","60","","","","","","","","","","","","","","","",""
"present:workspace","1684","16656200","18030800","21681100","1101500","38926200","16698514","5024900","60","","","","","","","","","","","","","","","",""
"frame:ALL","1605","82218900","87535700","104603000","19332500","133553000","66204157","22384100","12.2","","","","","","","","","","","","","","","",""
"frame:0000026C3CE70D00","405","82321100","86855400","104603000","20297600","126117600","65976985","22281900","12.1","","","","","","","","","","","","","","","",""
"frame:0000026C64410080","404","82220800","90125500","102288900","20227000","133553000","66027504","20068100","12.2","","","","","","","","","","","","","","","",""
"frame:0000026C644420F0","397","82254900","86636800","104500500","19332500","123334200","66473127","22245600","12.2","","","","","","","","","","","","","","","",""
"frame:0000026C6446C0D0","399","81882400","87032600","105620900","20335800","110665600","66345989","23738500","12.2","","","","","","","","","","","","","","","",""
