"source","client","idx","dt_ns"
"present","workspace","227","25509800"
"present","workspace","228","21786400"
"present","workspace","229","16016000"
"present","workspace","230","15638100"
"present","workspace","231","21595800"
"present","workspace","232","14956600"
"present","workspace","233","15386600"
"present","workspace","234","16493200"
"present","workspace","235","14879200"
"present","workspace","236","17637100"
"present","workspace","237","16969000"
"present","workspace","238","15241900"
"present","workspace","239","18792500"
"present","workspace","240","14611200"
"present","workspace","241","17231200"
"present","workspace","242","16944600"
"present","workspace","243","17683700"
"present","workspace","244","15069600"
"present","workspace","245","16803200"
"present","workspace","246","19686600"
"present","workspace","247","15620800"
"present","workspace","248","15211100"
"present","workspace","249","15694300"
"present","workspace","250","18295400"
"present","workspace","251","16422900"
"present","workspace","252","15603700"
"present","workspace","253","16655300"
"present","workspace","254","17468200"
"present","workspace","255","16122200"
"present","workspace","256","15905800"
"present","workspace","257","17268800"
"present","workspace","258","17827000"
"present","workspace","259","15371300"
"present","workspace","260","17682100"
"present","workspace","261","16480300"
"present","workspace","262","16578400"
"present","workspace","263","15575200"
"present","workspace","264","18368900"
"present","workspace","265","14809800"
"present","workspace","266","17283200"
"present","workspace","267","17979700"
"present","workspace","268","16982900"
"present","workspace","269","14688600"
"present","workspace","270","16938400"
"present","workspace","271","18375400"
"present","workspace","272","15574900"
"present","workspace","273","16424000"
"present","workspace","274","17441800"
"present","workspace","275","15543500"
"present","workspace","276","18944700"
"present","workspace","277","16783400"
"present","workspace","278","14389600"
"present","workspace","279","17164800"
"present","workspace","280","19724200"
"present","workspace","281","15028200"
"present","workspace","282","15921200"
"present","workspace","283","14499700"
"present","workspace","284","17286200"
"present","workspace","285","17322500"
"present","workspace","286","16990400"
"present","workspace","287","16743000"
"present","workspace","288","16007600"
"present","workspace","289","16606100"
"present","workspace","290","17473800"
"present","workspace","291","15568000"
"present","workspace","292","17796500"
"present","workspace","293","14765400"
"present","workspace","294","17507700"
"present","workspace","295","15926400"
"present","workspace","296","18300600"
"present","workspace","297","15542500"
"present","workspace","298","18905300"
"present","workspace","299","13971800"
"present","workspace","300","18394100"
"present","workspace","301","18824600"
"present","workspace","302","14800700"
"present","workspace","303","16793600"
"present","workspace","304","17806000"
"present","workspace","305","14434400"
"present","workspace","306","19544800"
"present","workspace","307","16747700"
"present","workspace","308","15353300"
"present","workspace","309","15763200"
"present","workspace","310","19149600"
"present","workspace","311","15439100"
"present","workspace","312","15852800"
"present","workspace","313","15248900"
"present","workspace","314","19170900"
"present","workspace","315","15818400"
"present","workspace","316","16422000"
"present","workspace","317","14707100"
"present","workspace","318","15853600"
"present","workspace","319","21568800"
"present","workspace","320","15930900"
"present","workspace","321","18429100"
"present","workspace","322","15242700"
"present","workspace","323","17714400"
"present","workspace","324","15631300"
"present","workspace","325","15779400"
"present","workspace","326","15841000"
"present","workspace","327","19727900"
"present","workspace","328","15311000"
"present","workspace","329","16448800"
"present","workspace","330","16519800"
"present","workspace","331","17260000"
"present","workspace","332","17079900"
"present","workspace","333","15747900"
"present","workspace","334","19005100"
