"label","count","p50_ns","p95_ns","p99_ns","min_ns","max_ns","mean_ns","jitter_ns","fps_p50","tag","duration_s","mutex_total_timeouts","mutex_total_acquires","mutex_avg_acquire_us","zc_per_client","fence_total_waits","fence_total_stale","fence_clients","render_windows","render_capture_renders","render_client_renders","render_client_skips","render_capture_avg_us","render_client_avg_us","render_wait_avg_us"
"META","0","0","0","0","0","0","0","0","0","gauss4-rerun","60","0","0","0","000001CBD332D2D0:N/single_view;000001CBD3364770:N/single_view;000001CBD33A6880:N/single_view;000001CBD33D0860:N/single_view","2434","0","4","5","1924","0","2307","5115.8","0","3.4"
"present:ALL","2206","30010400","34745900","47690000","14024000","73632700","26490780","17679600","33.3","","","","","","","","","","","","","","","",""
"present:workspace","2206","30010400","34745900","47690000","14024000","73632700","26490780","17679600","33.3","","","","","","","","","","","","","","","",""
"frame:ALL","2695","81046000","110545900","121470400","25793100","157710500","82984744","40424400","12.3","","","","","","","","","","","","","","","",""
"frame:000001CBD332D2D0","683","79615500","112207400","127732400","34978300","139308300","82397393","48116900","12.6","","","","","","","","","","","","","","","",""
"frame:000001CBD3364770","674","81299300","109174200","117817200","25793100","132202000","82904942","36517900","12.3","","","","","","","","","","","","","","","",""
"frame:000001CBD33A6880","683","79235600","109096800","119129800","45455400","157710500","81561277","39894200","12.6","","","","","","","","","","","","","","","",""
"frame:000001CBD33D0860","655","83453100","111276600","120157600","49028300","132892700","85163638","36704500","12","","","","","","","","","","","","","","","",""
