"label","count","p50_ns","p95_ns","p99_ns","min_ns","max_ns","mean_ns","jitter_ns","fps_p50","tag","duration_s","mutex_total_timeouts","mutex_total_acquires","mutex_avg_acquire_us","zc_per_client","fence_total_waits","fence_total_stale","fence_clients","render_windows","render_capture_renders","render_client_renders","render_client_skips","render_capture_avg_us","render_client_avg_us","render_wait_avg_us"
"META","0","0","0","0","0","0","0","0","0","phase5a-substage","30","0","0","0","000001C3BE64FE60:N/workspace_mode;000001C3BE688F20:N/workspace_mode;000001C3BE6C2FA0:N/workspace_mode;000001C3BE6F5820:N/workspace_mode","2312","0","4","2","1171","0","2054","3157","0","4"
"present:ALL","1657","16293400","21946900","27518300","13930100","33931600","17007705","11224900","61.4","","","","","","","","","","","","","","","",""
"present:workspace","1657","16293400","21946900","27518300","13930100","33931600","17007705","11224900","61.4","","","","","","","","","","","","","","","",""
"frame:ALL","3011","32697300","50253800","59523400","11997400","67566100","34488014","26826100","30.6","","","","","","","","","","","","","","","",""
"frame:000001C3BE64FE60","760","32871200","50317200","59014100","13164100","67256000","34586409","26142900","30.4","","","","","","","","","","","","","","","",""
"frame:000001C3BE688F20","755","32538500","49818400","58550700","14113900","67566100","34328372","26012200","30.7","","","","","","","","","","","","","","","",""
"frame:000001C3BE6C2FA0","748","32905800","49797300","59885800","12756800","67216200","34631657","26980000","30.4","","","","","","","","","","","","","","","",""
"frame:000001C3BE6F5820","748","32499200","51295500","59443900","11997400","67029600","34405531","26944700","30.8","","","","","","","","","","","","","","","",""
