"label","count","p50_ns","p95_ns","p99_ns","min_ns","max_ns","mean_ns","jitter_ns","fps_p50","tag","duration_s","mutex_total_timeouts","mutex_total_acquires","mutex_avg_acquire_us","zc_per_client","fence_total_waits","fence_total_stale","fence_clients","render_windows","render_capture_renders","render_client_renders","render_client_skips","render_capture_avg_us","render_client_avg_us","render_wait_avg_us","zcopy_total_zero_copy_views","zcopy_total_fallback_views","zcopy_clients"
"META","0","0","0","0","0","0","0","0","0","phase4-fence-only","30",,,"0","",,,"0","2","794","0","2815","11498.5","0","1.5","4532","2","4"
"present:ALL","1026","23706100","61866800","74538500","14053700","90384900","27668109","50832400","42.2","","","","","","","","","","","","","","","","","","",""
"present:workspace","1026","23706100","61866800","74538500","14053700","90384900","27668109","50832400","42.2","","","","","","","","","","","","","","","","","","",""
"frame:ALL","3886","25760900","43073700","54648900","8005800","72950100","27702456","28888000","38.8","","","","","","","","","","","","","","","","","","",""
"frame:0000022D36C30080","978","25771600","42367100","53805400","8005800","72950100","27642753","28033800","38.8","","","","","","","","","","","","","","","","","","",""
"frame:0000022D36C5BE70","978","25832100","42536500","54411700","8745900","63688500","27597013","28579600","38.7","","","","","","","","","","","","","","","","","","",""
"frame:0000022D36C85FF0","963","25713500","44044700","54807400","8587400","64561700","27852508","29093900","38.9","","","","","","","","","","","","","","","","","","",""
"frame:0000022D36CB8200","967","25748000","43073700","54167600","8255400","62958900","27720049","28419600","38.8","","","","","","","","","","","","","","","","","","",""
