"label","count","p50_ns","p95_ns","p99_ns","min_ns","max_ns","mean_ns","jitter_ns","fps_p50","tag","duration_s","mutex_total_timeouts","mutex_total_acquires","mutex_avg_acquire_us","zc_per_client","fence_total_waits","fence_total_stale","fence_clients","render_windows","render_capture_renders","render_client_renders","render_client_skips","render_capture_avg_us","render_client_avg_us","render_wait_avg_us"
"META","0","0","0","0","0","0","0","0","0","phase5a-profile","30","0","0","0","0000020BCA100090:N/workspace_mode;0000020BCA13BF60:N/workspace_mode;0000020BCA17E070:N/workspace_mode;0000020BCA1B00E0:N/workspace_mode","1863","0","4","2","1154","0","1572","3397","0","4.5"
"present:ALL","1646","16451000","22188500","27730000","13748300","123552400","17172147","11279000","60.8","","","","","","","","","","","","","","","",""
"present:workspace","1646","16451000","22188500","27730000","13748300","123552400","17172147","11279000","60.8","","","","","","","","","","","","","","","",""
"frame:ALL","2409","38894800","64975500","85162200","15924900","125408900","42057826","46267400","25.7","","","","","","","","","","","","","","","",""
"frame:0000020BCA100090","612","38926900","66258000","91260800","15924900","125408900","42472370","52333900","25.7","","","","","","","","","","","","","","","",""
"frame:0000020BCA13BF60","598","38916500","64633300","82805200","17250700","106998800","42029473","43888700","25.7","","","","","","","","","","","","","","","",""
"frame:0000020BCA17E070","602","38855500","64202700","82543000","15980100","119219500","41964573","43687500","25.7","","","","","","","","","","","","","","","",""
"frame:0000020BCA1B00E0","597","38894800","63655100","84391900","16206500","102890000","41755301","45497100","25.7","","","","","","","","","","","","","","","",""
