"label","count","p50_ns","p95_ns","p99_ns","min_ns","max_ns","mean_ns","jitter_ns","fps_p50","tag","duration_s","mutex_total_timeouts","mutex_total_acquires","mutex_avg_acquire_us","zc_per_client","fence_total_waits","fence_total_stale","fence_clients","render_windows","render_capture_renders","render_client_renders","render_client_skips","render_capture_avg_us","render_client_avg_us","render_wait_avg_us"
"META","0","0","0","0","0","0","0","0","0","c2-no-hud-4apps","60","0","0","0","000001EB1CF70080:N/workspace_mode;000001EB1CF9AC70:N/workspace_mode;000001EB1CFC4EC0:N/workspace_mode;000001EB1D00F0E0:N/workspace_mode","11555","0","4","5","2991","0","11210","2819.6","0","4.8"
"present:ALL","3490","16463300","19242900","20896600","14137100","29255000","16734005","4433300","60.7","","","","","","","","","","","","","","","",""
"present:workspace","3490","16463300","19242900","20896600","14137100","29255000","16734005","4433300","60.7","","","","","","","","","","","","","","","",""
"frame:ALL","13065","16097100","27200900","36723400","9097000","61396600","17380281","20626300","62.1","","","","","","","","","","","","","","","",""
"frame:000001EB1CF70080","3273","16156000","27386600","36160300","9623500","60499500","17445161","20004300","61.9","","","","","","","","","","","","","","","",""
"frame:000001EB1CF9AC70","3275","15996900","27349700","37276100","9281600","52389400","17361792","21279200","62.5","","","","","","","","","","","","","","","",""
"frame:000001EB1CFC4EC0","3275","16031800","27090600","36299500","9097000","61232700","17302790","20267700","62.4","","","","","","","","","","","","","","","",""
"frame:000001EB1D00F0E0","3242","16180500","26815200","36659700","9426800","61396600","17411738","20479200","61.8","","","","","","","","","","","","","","","",""
