"label","count","p50_ns","p95_ns","p99_ns","min_ns","max_ns","mean_ns","jitter_ns","fps_p50","tag","duration_s","mutex_total_timeouts","mutex_total_acquires","mutex_avg_acquire_us","zc_per_client","fence_total_waits","fence_total_stale","fence_clients","render_windows","render_capture_renders","render_client_renders","render_client_skips","render_capture_avg_us","render_client_avg_us","render_wait_avg_us"
"META","0","0","0","0","0","0","0","0","0","perf-hookb-off","30","0","0","0","0000018260F692B0:N/window_space_layers;0000018260FBFDA0:N/window_space_layers;0000018260FF1E90:N/window_space_layers;000001826103C0B0:N/window_space_layers","5341","0","4","2","1203","0","5164","2759","0","1"
"present:ALL","1742","16750700","18025300","18385000","13735300","28062300","16659299","1634300","59.7","","","","","","","","","","","","","","","",""
"present:workspace","1742","16750700","18025300","18385000","13735300","28062300","16659299","1634300","59.7","","","","","","","","","","","","","","","",""
"frame:ALL","7475","14913400","19503500","27109200","8535900","36553300","15155150","12195800","67.1","","","","","","","","","","","","","","","",""
"frame:0000018260F692B0","1876","15000500","19241600","27056500","8974300","30882100","15199317","12056000","66.7","","","","","","","","","","","","","","","",""
"frame:0000018260FBFDA0","1871","14867300","19529400","27158500","8870700","36553300","15157158","12291200","67.3","","","","","","","","","","","","","","","",""
"frame:0000018260FF1E90","1858","14967600","20075500","26953100","8889000","34526300","15195321","11985500","66.8","","","","","","","","","","","","","","","",""
"frame:000001826103C0B0","1870","14814100","19229300","27075700","8535900","35351900","15068919","12261600","67.5","","","","","","","","","","","","","","","",""
