"label","count","p50_ns","p95_ns","p99_ns","min_ns","max_ns","mean_ns","jitter_ns","fps_p50","tag","duration_s","mutex_total_timeouts","mutex_total_acquires","mutex_avg_acquire_us","zc_per_client","fence_total_waits","fence_total_stale","fence_clients","render_windows","render_capture_renders","render_client_renders","render_client_skips","render_capture_avg_us","render_client_avg_us","render_wait_avg_us","zcopy_total_zero_copy_views","zcopy_total_fallback_views","zcopy_clients"
"META","0","0","0","0","0","0","0","0","0","phase4-dedup","30",,,"0","",,,"0","2","883","0","2722","8888.5","0","2.5","5784","0","4"
"present:ALL","1226","23461500","32224800","40461400","14215400","46563500","23125493","16999900","42.6","","","","","","","","","","","","","","","","","","",""
"present:workspace","1226","23461500","32224800","40461400","14215400","46563500","23125493","16999900","42.6","","","","","","","","","","","","","","","","","","",""
"frame:ALL","3987","25175100","37939300","55812200","8385300","103878000","26787074","30637100","39.7","","","","","","","","","","","","","","","","","","",""
"frame:000001EA1F6C1230","1003","25443400","37668400","54410500","8696700","103878000","26892577","28967100","39.3","","","","","","","","","","","","","","","","","","",""
"frame:000001EA42703DE0","999","25100400","38004500","55523700","9313100","86540300","26772113","30423300","39.8","","","","","","","","","","","","","","","","","","",""
"frame:000001EA42746090","990","25109800","38180500","54254700","9256600","89652400","26853532","29144900","39.8","","","","","","","","","","","","","","","","","","",""
"frame:000001EA42770210","995","25004600","36828100","57073100","8385300","85087900","26629620","32068500","40","","","","","","","","","","","","","","","","","","",""
