"label","count","p50_ns","p95_ns","p99_ns","min_ns","max_ns","mean_ns","jitter_ns","fps_p50","tag","duration_s","mutex_total_timeouts","mutex_total_acquires","mutex_avg_acquire_us","zc_per_client","fence_total_waits","fence_total_stale","fence_clients","render_windows","render_capture_renders","render_client_renders","render_client_skips","render_capture_avg_us","render_client_avg_us","render_wait_avg_us"
"META","0","0","0","0","0","0","0","0","0","phase3b-lazy-copy","30","0","0","0","000001DB2EBF0090:N/workspace_mode;000001DB2EC67D20:N/workspace_mode;000001DB2EC99E90:N/workspace_mode;000001DB2ECCC080:N/workspace_mode","3024","0","4","2","887","0","2751","8868.5","0","2.5"
"present:ALL","1240","22975300","32396500","41346300","14064900","46433700","22697184","18371000","43.5","","","","","","","","","","","","","","","",""
"present:workspace","1240","22975300","32396500","41346300","14064900","46433700","22697184","18371000","43.5","","","","","","","","","","","","","","","",""
"frame:ALL","4007","24637500","37838400","56120700","8432900","83644800","26283961","31483200","40.6","","","","","","","","","","","","","","","",""
"frame:000001DB2EBF0090","1006","24766100","37882000","56120700","8432900","83644800","26398082","31354600","40.4","","","","","","","","","","","","","","","",""
"frame:000001DB2EC67D20","994","24680800","38189000","56164700","8787100","71984300","26387476","31483900","40.5","","","","","","","","","","","","","","","",""
"frame:000001DB2EC99E90","1002","24537200","38150100","54710600","9522500","80028800","26290990","30173400","40.8","","","","","","","","","","","","","","","",""
"frame:000001DB2ECCC080","1005","24514300","36285100","55114400","8808600","68690100","26060337","30600100","40.8","","","","","","","","","","","","","","","",""
