"label","count","p50_ns","p95_ns","p99_ns","min_ns","max_ns","mean_ns","jitter_ns","fps_p50","tag","duration_s","mutex_total_timeouts","mutex_total_acquires","mutex_avg_acquire_us","zc_per_client","fence_total_waits","fence_total_stale","fence_clients","render_windows","render_capture_renders","render_client_renders","render_client_skips","render_capture_avg_us","render_client_avg_us","render_wait_avg_us"
"META","0","0","0","0","0","0","0","0","0","perf-hookb2-on","30","0","0","0","000001FC40CADAF0:N/window_space_layers;000001FC40D13D10:N/window_space_layers;000001FC40D4D4E0:N/window_space_layers;000001FC40D7F5D0:N/window_space_layers","3624","0","4","2","1203","0","3505","2751","0","1"
"present:ALL","1737","16758900","18033700","18493500","13962200","27574200","16655187","1734600","59.7","","","","","","","","","","","","","","","",""
"present:workspace","1737","16758900","18033700","18493500","13962200","27574200","16655187","1734600","59.7","","","","","","","","","","","","","","","",""
"frame:ALL","4944","27286200","34992700","41971500","7103700","45455900","22766812","14685300","36.6","","","","","","","","","","","","","","","",""
"frame:000001FC40CADAF0","2215","12175800","20578500","25999000","7103700","34202400","12823399","13823200","82.1","","","","","","","","","","","","","","","",""
"frame:000001FC40D13D10","918","30134900","37549500","42905900","24640800","45103300","30761321","12771000","33.2","","","","","","","","","","","","","","","",""
"frame:000001FC40D4D4E0","910","30222900","38442500","43071200","24784400","45080600","30805637","12848300","33.1","","","","","","","","","","","","","","","",""
"frame:000001FC40D7F5D0","901","30366500","39154800","43495300","24257200","45455900","30947019","13128800","32.9","","","","","","","","","","","","","","","",""
