"label","count","p50_ns","p95_ns","p99_ns","min_ns","max_ns","mean_ns","jitter_ns","fps_p50","tag","duration_s","mutex_total_timeouts","mutex_total_acquires","mutex_avg_acquire_us","zc_per_client","fence_total_waits","fence_total_stale","fence_clients","render_windows","render_capture_renders","render_client_renders","render_client_skips","render_capture_avg_us","render_client_avg_us","render_wait_avg_us"
"META","0","0","0","0","0","0","0","0","0","phase3-surgery","30","0","0","0","00000281FAE42010:N/workspace_mode;00000281FAE6D6F0:N/workspace_mode;00000281FAE976D0:N/workspace_mode;00000281FAEC16B0:N/workspace_mode","2893","0","4","2","1190","0","2667","2921","0","4"
"present:ALL","1686","16491500","19327200","20927500","13943300","37053800","16797878","4436000","60.6","","","","","","","","","","","","","","","",""
"present:workspace","1686","16491500","19327200","20927500","13943300","37053800","16797878","4436000","60.6","","","","","","","","","","","","","","","",""
"frame:ALL","3911","25537500","40183700","54990400","8929700","73459400","27334364","29452900","39.2","","","","","","","","","","","","","","","",""
"frame:00000281FAE42010","981","25535200","40010400","54322600","9064700","73459400","27398056","28787400","39.2","","","","","","","","","","","","","","","",""
"frame:00000281FAE6D6F0","981","25479800","40006800","54944000","8929700","64591400","27340857","29464200","39.2","","","","","","","","","","","","","","","",""
"frame:00000281FAE976D0","972","25720900","40263500","55714500","9840400","65372100","27322333","29993600","38.9","","","","","","","","","","","","","","","",""
"frame:00000281FAEC16B0","977","25415600","40030000","54646100","9063600","65115700","27275861","29230500","39.3","","","","","","","","","","","","","","","",""
