"label","count","p50_ns","p95_ns","p99_ns","min_ns","max_ns","mean_ns","jitter_ns","fps_p50","tag","duration_s","mutex_total_timeouts","mutex_total_acquires","mutex_avg_acquire_us","zc_per_client","fence_total_waits","fence_total_stale","fence_clients","render_windows","render_capture_renders","render_client_renders","render_client_skips","render_capture_avg_us","render_client_avg_us","render_wait_avg_us"
"META","0","0","0","0","0","0","0","0","0","phase3-baseline-rerun","30","0","0","0","0000024A0C8C0E40:N/workspace_mode;0000024A0C8F7EE0:N/workspace_mode;0000024A360B0080:N/workspace_mode;0000024A360DA870:N/workspace_mode","2790","0","4","2","1187","0","2543","2952","0","5"
"present:ALL","1687","16471000","19533500","22195400","14049400","34555300","16815911","5724400","60.7","","","","","","","","","","","","","","","",""
"present:workspace","1687","16471000","19533500","22195400","14049400","34555300","16815911","5724400","60.7","","","","","","","","","","","","","","","",""
"frame:ALL","3732","26928600","40525400","56097800","10196600","77605200","28477016","29169200","37.1","","","","","","","","","","","","","","","",""
"frame:0000024A0C8C0E40","941","26949800","40984800","53633800","11112000","77605200","28566908","26684000","37.1","","","","","","","","","","","","","","","",""
"frame:0000024A0C8F7EE0","926","27031200","41141700","57692900","10241500","76484700","28680016","30661700","37","","","","","","","","","","","","","","","",""
"frame:0000024A360B0080","938","26743300","39815800","53949300","10854800","73134400","28202599","27206000","37.4","","","","","","","","","","","","","","","",""
"frame:0000024A360DA870","927","27021900","39990500","56649100","10196600","76265400","28460659","29627200","37","","","","","","","","","","","","","","","",""
