"label","count","p50_ns","p95_ns","p99_ns","min_ns","max_ns","mean_ns","jitter_ns","fps_p50","tag","duration_s","mutex_total_timeouts","mutex_total_acquires","mutex_avg_acquire_us","zc_per_client","fence_total_waits","fence_total_stale","fence_clients","render_windows","render_capture_renders","render_client_renders","render_client_skips","render_capture_avg_us","render_client_avg_us","render_wait_avg_us","zcopy_total_zero_copy_views","zcopy_total_fallback_views","zcopy_clients"
"META","0","0","0","0","0","0","0","0","0","phase4-throttle4ms","30",,,"0","",,,"0","2","1154","0","2613","13422","0","2","7842","0","4"
"present:ALL","1638","18045100","28858000","34428300","4067100","46500000","17328710","16383200","55.4","","","","","","","","","","","","","","","","","","",""
"present:workspace","1638","18045100","28858000","34428300","4067100","46500000","17328710","16383200","55.4","","","","","","","","","","","","","","","","","","",""
"frame:ALL","3793","26588100","41147700","52733500","9439300","70202400","28091176","26145400","37.6","","","","","","","","","","","","","","","","","","",""
"frame:000002001EBB0080","957","26555800","40095500","53707900","9997300","63726400","27954858","27152100","37.7","","","","","","","","","","","","","","","","","","",""
"frame:000002001EC1D010","947","26575300","42138000","52664200","9470600","70202400","28221068","26088900","37.6","","","","","","","","","","","","","","","","","","",""
"frame:000002001EC47190","944","26571400","40942800","52025000","10769000","62237200","28180022","25453600","37.6","","","","","","","","","","","","","","","","","","",""
"frame:000002001EC71310","945","26655000","41147700","52658100","9439300","57942500","28010306","26003100","37.5","","","","","","","","","","","","","","","","","","",""
