"label","count","p50_ns","p95_ns","p99_ns","min_ns","max_ns","mean_ns","jitter_ns","fps_p50","tag","duration_s","mutex_total_timeouts","mutex_total_acquires","mutex_avg_acquire_us","zc_per_client","fence_total_waits","fence_total_stale","fence_clients","render_windows","render_capture_renders","render_client_renders","render_client_skips","render_capture_avg_us","render_client_avg_us","render_wait_avg_us"
"META","0","0","0","0","0","0","0","0","0","gauss1-phaseC","60","0","0","0","0000018E6DD5A860:N/single_view","1683","0","1","5","2855","0","1642","3035.4","0","3.6"
"present:ALL","3224","16474200","30345400","31526400","13964700","290431400","18070990","15052200","60.7","","","","","","","","","","","","","","","",""
"present:workspace","3224","16474200","30345400","31526400","13964700","290431400","18070990","15052200","60.7","","","","","","","","","","","","","","","",""
"frame:ALL","1908","27476400","45796100","52016200","18264100","271716600","29909093","24539800","36.4","","","","","","","","","","","","","","","",""
"frame:0000018E6DD5A860","1908","27476400","45796100","52016200","18264100","271716600","29909093","24539800","36.4","","","","","","","","","","","","","","","",""
