"label","count","p50_ns","p95_ns","p99_ns","min_ns","max_ns","mean_ns","jitter_ns","fps_p50","tag","duration_s","mutex_total_timeouts","mutex_total_acquires","mutex_avg_acquire_us","zc_per_client","fence_total_waits","fence_total_stale","fence_clients","render_windows","render_capture_renders","render_client_renders","render_client_skips","render_capture_avg_us","render_client_avg_us","render_wait_avg_us"
"META","0","0","0","0","0","0","0","0","0","gauss1-mybuild-noPhaseC","60","0","0","0","000001A30A2186D0:N/workspace_mode","1974","0","1","5","2971","0","1923","2935.8","0","4.2"
"present:ALL","3457","16377100","20213700","24403100","13608200","41123700","16834768","8026000","61.1","","","","","","","","","","","","","","","",""
"present:workspace","3457","16377100","20213700","24403100","13608200","41123700","16834768","8026000","61.1","","","","","","","","","","","","","","","",""
"frame:ALL","2267","23106100","36794500","46686700","16727500","57269000","25165847","23580600","43.3","","","","","","","","","","","","","","","",""
"frame:000001A30A2186D0","2267","23106100","36794500","46686700","16727500","57269000","25165847","23580600","43.3","","","","","","","","","","","","","","","",""
