"label","count","p50_ns","p95_ns","p99_ns","min_ns","max_ns","mean_ns","jitter_ns","fps_p50","tag","duration_s","mutex_total_timeouts","mutex_total_acquires","mutex_avg_acquire_us","zc_per_client","fence_total_waits","fence_total_stale","fence_clients","render_windows","render_capture_renders","render_client_renders","render_client_skips","render_capture_avg_us","render_client_avg_us","render_wait_avg_us","zcopy_total_zero_copy_views","zcopy_total_fallback_views","zcopy_clients"
"META","0","0","0","0","0","0","0","0","0","phase4-restored","30",,,"0","",,,"0","2","884","0","2848","8897.5","0","2.5","5792","0","4"
"present:ALL","1230","22968800","31985300","41888600","13949600","74668000","22997036","18919800","43.5","","","","","","","","","","","","","","","","","","",""
"present:workspace","1230","22968800","31985300","41888600","13949600","74668000","22997036","18919800","43.5","","","","","","","","","","","","","","","","","","",""
"frame:ALL","4156","24137700","36340200","51525400","8235200","83917000","25510561","27387700","41.4","","","","","","","","","","","","","","","","","","",""
"frame:000001F9943C1E60","1032","24254200","36393600","51181600","8326700","83917000","25505961","26927400","41.2","","","","","","","","","","","","","","","","","","",""
"frame:000001F9943F4070","1035","24090700","35480900","51330000","8394900","66088400","25406834","27239300","41.5","","","","","","","","","","","","","","","","","","",""
"frame:000001F99442E290","1022","24109000","35995600","51743900","8479700","70818100","25609907","27634900","41.5","","","","","","","","","","","","","","","","","","",""
"frame:000001F9ED1934E0","1067","24121200","36821600","52186200","8235200","66920100","25520468","28065000","41.5","","","","","","","","","","","","","","","","","","",""
