"label","count","p50_ns","p95_ns","p99_ns","min_ns","max_ns","mean_ns","jitter_ns","fps_p50","tag","duration_s","mutex_total_timeouts","mutex_total_acquires","mutex_avg_acquire_us","zc_per_client","fence_total_waits","fence_total_stale","fence_clients","render_windows","render_capture_renders","render_client_renders","render_client_skips","render_capture_avg_us","render_client_avg_us","render_wait_avg_us"
"META","0","0","0","0","0","0","0","0","0","perf-hookb3-max","30","0","0","0","00000246F774B920:N/window_space_layers;00000246F77EC020:N/window_space_layers;00000246F7826220:N/window_space_layers;00000246F7858210:N/window_space_layers","2207","0","4","2","1203","0","2158","2740","0","1"
"present:ALL","1735","16773700","18022200","18655100","13667300","26594200","16659944","1881400","59.6","","","","","","","","","","","","","","","",""
"present:workspace","1735","16773700","18022200","18655100","13667300","26594200","16659944","1881400","59.6","","","","","","","","","","","","","","","",""
"frame:ALL","3064","9658900","33701700","995512700","7120700","1010500000","36711024","985853800","103.5","","","","","","","","","","","","","","","",""
"frame:00000246F774B920","2596","9150300","20980100","25027900","7120700","60647700","10961099","15877600","109.3","","","","","","","","","","","","","","","",""
"frame:00000246F77EC020","159","31171800","996008800","999134800","25790000","1000884100","176897168","967963000","32.1","","","","","","","","","","","","","","","",""
"frame:00000246F7826220","156","31131500","995707000","998961200","25480700","1010500000","179315594","967829700","32.1","","","","","","","","","","","","","","","",""
"frame:00000246F7858210","153","31467100","995735800","998822700","25819500","1000083800","182533882","967355600","31.8","","","","","","","","","","","","","","","",""
