"label","count","p50_ns","p95_ns","p99_ns","min_ns","max_ns","mean_ns","jitter_ns","fps_p50","tag","duration_s","mutex_total_timeouts","mutex_total_acquires","mutex_avg_acquire_us","zc_per_client","fence_total_waits","fence_total_stale","fence_clients","render_windows","render_capture_renders","render_client_renders","render_client_skips","render_capture_avg_us","render_client_avg_us","render_wait_avg_us"
"META","0","0","0","0","0","0","0","0","0","gauss1-ipc-profile","60","0","0","0","00000245D289EC30:N/single_view","1779","0","1","5","2465","0","1737","2266.6","0","2.6"
"present:ALL","2861","16220500","31229300","32895000","13901100","49113600","20338183","16674500","61.7","","","","","","","","","","","","","","","",""
"present:workspace","2861","16220500","31229300","32895000","13901100","49113600","20338183","16674500","61.7","","","","","","","","","","","","","","","",""
"frame:ALL","2021","24209800","47564200","53766600","16654000","79011500","28213778","29556800","41.3","","","","","","","","","","","","","","","",""
"frame:00000245D289EC30","2021","24209800","47564200","53766600","16654000","79011500","28213778","29556800","41.3","","","","","","","","","","","","","","","",""
