"label","count","p50_ns","p95_ns","p99_ns","min_ns","max_ns","mean_ns","jitter_ns","fps_p50","tag","duration_s","mutex_total_timeouts","mutex_total_acquires","mutex_avg_acquire_us","zc_per_client","fence_total_waits","fence_total_stale","fence_clients","render_windows","render_capture_renders","render_client_renders","render_client_skips","render_capture_avg_us","render_client_avg_us","render_wait_avg_us"
"META","0","0","0","0","0","0","0","0","0","c2-hud-cache-4apps","60","0","0","0","00000297964312E0:N/window_space_layers;00000297BE353C80:N/window_space_layers;00000297BE3A8840:N/window_space_layers;00000297BE3DA8B0:N/window_space_layers","11370","0","4","5","2096","0","10949","10013.2","0","1.8"
"present:ALL","2441","23940100","31829300","34006200","14633200","37727700","23881646","10066100","41.8","","","","","","","","","","","","","","","",""
"present:workspace","2441","23940100","31829300","34006200","14633200","37727700","23881646","10066100","41.8","","","","","","","","","","","","","","","",""
"frame:ALL","12836","16504100","26557600","36878900","9836500","58182900","17578384","20374800","60.6","","","","","","","","","","","","","","","",""
"frame:00000297964312E0","3198","16590300","27038700","37033300","10229500","58057200","17740659","20443000","60.3","","","","","","","","","","","","","","","",""
"frame:00000297BE353C80","3188","16643400","26600000","37629000","10237700","58182900","17732515","20985600","60.1","","","","","","","","","","","","","","","",""
"frame:00000297BE3A8840","3219","16473500","25983000","35387800","9836500","58014900","17488764","18914300","60.7","","","","","","","","","","","","","","","",""
"frame:00000297BE3DA8B0","3231","16305600","25928200","36394700","10204700","54057100","17354973","20089100","61.3","","","","","","","","","","","","","","","",""
