"label","count","p50_ns","p95_ns","p99_ns","min_ns","max_ns","mean_ns","jitter_ns","fps_p50","tag","duration_s","mutex_total_timeouts","mutex_total_acquires","mutex_avg_acquire_us","zc_per_client","fence_total_waits","fence_total_stale","fence_clients","render_windows","render_capture_renders","render_client_renders","render_client_skips","render_capture_avg_us","render_client_avg_us","render_wait_avg_us"
"META","0","0","0","0","0","0","0","0","0","gauss1","60","0","0","0","0000018B440FF720:N/single_view","1843","0","1","5","2820","0","1801","2586.6","0","2.6"
"present:ALL","3237","16282900","30327100","31859800","13714100","62080000","18032760","15576900","61.4","","","","","","","","","","","","","","","",""
"present:workspace","3237","16282900","30327100","31859800","13714100","62080000","18032760","15576900","61.4","","","","","","","","","","","","","","","",""
"frame:ALL","2083","24379200","44750100","52687200","17567800","212382500","27463767","28308000","41","","","","","","","","","","","","","","","",""
"frame:0000018B440FF720","2083","24379200","44750100","52687200","17567800","212382500","27463767","28308000","41","","","","","","","","","","","","","","","",""
