"source","client","idx","dt_ns"
"present","workspace","227","16051700"
"present","workspace","228","17012000"
"present","workspace","229","14699300"
"present","workspace","230","18618800"
"present","workspace","231","14660100"
"present","workspace","232","18854300"
"present","workspace","233","16630300"
"present","workspace","234","15841800"
"present","workspace","235","16003100"
"present","workspace","236","16427800"
"present","workspace","237","17454700"
"present","workspace","238","15744200"
"present","workspace","239","17058700"
"present","workspace","240","15654800"
"present","workspace","241","17981100"
"present","workspace","242","16127400"
"present","workspace","243","16585600"
"present","workspace","244","16667100"
"present","workspace","245","17590600"
"present","workspace","246","16807100"
"present","workspace","247","16233600"
"present","workspace","248","16502100"
"present","workspace","249","17688200"
"present","workspace","250","16131100"
"present","workspace","251","16185300"
"present","workspace","252","17103200"
"present","workspace","253","16425900"
"present","workspace","254","15045900"
"present","workspace","255","17551500"
"present","workspace","256","15873700"
"present","workspace","257","19587500"
"present","workspace","258","15575500"
"present","workspace","259","15709200"
"present","workspace","260","16087400"
"present","workspace","261","17661700"
"present","workspace","262","15988200"
"present","workspace","263","16380500"
"present","workspace","264","16886300"
"present","workspace","265","16920200"
"present","workspace","266","16218500"
"present","workspace","267","17102500"
"present","workspace","268","19493700"
"present","workspace","269","15041300"
"present","workspace","270","15780000"
"present","workspace","271","17094000"
"present","workspace","272","15187100"
"present","workspace","273","18558800"
"present","workspace","274","14965500"
"present","workspace","275","17046800"
"present","workspace","276","16195700"
"present","workspace","277","17340000"
"present","workspace","278","17018500"
"present","workspace","279","17740800"
"present","workspace","280","16502000"
"present","workspace","281","17607600"
"present","workspace","282","15185700"
"present","workspace","283","17057000"
"present","workspace","284","18136300"
"present","workspace","285","15797700"
"present","workspace","286","17075200"
"present","workspace","287","15612400"
"present","workspace","288","15844900"
"present","workspace","289","15755400"
"present","workspace","290","17690100"
"present","workspace","291","16660900"
"present","workspace","292","16534600"
"present","workspace","293","14894300"
"present","workspace","294","18705600"
"present","workspace","295","16890100"
"present","workspace","296","16464300"
"present","workspace","297","16878200"
"present","workspace","298","15649300"
"present","workspace","299","18012700"
"present","workspace","300","17114900"
"present","workspace","301","15371100"
"present","workspace","302","16161600"
"present","workspace","303","17603900"
"present","workspace","304","14981400"
"present","workspace","305","18595000"
"present","workspace","306","15677700"
"present","workspace","307","17202200"
"present","workspace","308","15850700"
"present","workspace","309","15558700"
"present","workspace","310","18351300"
"present","workspace","311","17081000"
"present","workspace","312","15652100"
"present","workspace","313","15886900"
"present","workspace","314","19183200"
"present","workspace","315","14533100"
"present","workspace","316","17544400"
"present","workspace","317","18447700"
"present","workspace","318","14858100"
"present","workspace","319","19238600"
"present","workspace","320","15225700"
"present","workspace","321","17353600"
"present","workspace","322","13931400"
"present","workspace","323","18105300"
"present","workspace","324","15873000"
"present","workspace","325","18951200"
"present","workspace","326","15928600"
"present","workspace","327","21112000"
"present","workspace","328","14864100"
"present","workspace","329","16512200"
"present","workspace","330","17941800"
"present","workspace","331","14683000"
"present","workspace","332","16911300"
"present","workspace","333","14090800"
"present","workspace","334","20752300"
"present","workspace","335","18532000"
"present","workspace","336","16034300"
"present","workspace","337","15556400"
"present","workspace","338","15909500"
"present","workspace","339","18412600"
"present","workspace","340","16352200"
"present","workspace","341","16418100"
"present","workspace","342","18516700"
"present","workspace","343","15977600"
"present","workspace","344","16000000"
"present","workspace","345","16486600"
"present","workspace","346","15486600"
"present","workspace","347","16141500"
"present","workspace","348","16760300"
"present","workspace","349","18613700"
"present","workspace","350","16289600"
"present","workspace","351","18010100"
"present","workspace","352","16017800"
"present","workspace","353","16361200"
"present","workspace","354","16086200"
"present","workspace","355","16007600"
"present","workspace","356","17458900"
"present","workspace","357","14830600"
"present","workspace","358","15371400"
"present","workspace","359","19089700"
"present","workspace","360","15574000"
"present","workspace","361","16724000"
"present","workspace","362","15639300"
"present","workspace","363","18431200"
"present","workspace","364","21572000"
"present","workspace","365","15870100"
"present","workspace","366","16353200"
"present","workspace","367","16047000"
"present","workspace","368","15615400"
"present","workspace","369","16256000"
"present","workspace","370","15803000"
"present","workspace","371","14724600"
"present","workspace","372","15440400"
"present","workspace","373","18498700"
"present","workspace","374","17124100"
"present","workspace","375","17944400"
"present","workspace","376","17626900"
"present","workspace","377","15502400"
"present","workspace","378","15326200"
"present","workspace","379","16299200"
"present","workspace","380","14454500"
"present","workspace","381","15982100"
"present","workspace","382","22555700"
"present","workspace","383","14816300"
"present","workspace","384","16603000"
"present","workspace","385","19680900"
"present","workspace","386","15103100"
"present","workspace","387","17016000"
"present","workspace","388","15972600"
"present","workspace","389","15074400"
"present","workspace","390","18666600"
"present","workspace","391","14838200"
"present","workspace","392","15183300"
"present","workspace","393","16169300"
"present","workspace","394","16251900"
"present","workspace","395","18333200"
"present","workspace","396","20248000"
"present","workspace","397","16258100"
"present","workspace","398","15912200"
"present","workspace","399","16679400"
"present","workspace","400","14565800"
"present","workspace","401","15411800"
"present","workspace","402","16040700"
"present","workspace","403","16200900"
"present","workspace","404","15433000"
"present","workspace","405","15973300"
"present","workspace","406","16412700"
"present","workspace","407","17047400"
"present","workspace","408","17454700"
"present","workspace","409","17052100"
"present","workspace","410","15828100"
"present","workspace","411","15438700"
"present","workspace","412","18324200"
"present","workspace","413","16636200"
"present","workspace","414","17066900"
"present","workspace","415","15557500"
"present","workspace","416","17574000"
"present","workspace","417","15833700"
"present","workspace","418","17160100"
"present","workspace","419","15799400"
"present","workspace","420","18054400"
"present","workspace","421","16241600"
"present","workspace","422","16808200"
"present","workspace","423","15850400"
"present","workspace","424","16706400"
"present","workspace","425","15641100"
"present","workspace","426","18854400"
"present","workspace","427","15249000"
"present","workspace","428","17429900"
"present","workspace","429","16772700"
"present","workspace","430","16530900"
"present","workspace","431","16389400"
"present","workspace","432","15662700"
"present","workspace","433","20535200"
"present","workspace","434","14889200"
"present","workspace","435","15209700"
"present","workspace","436","17758500"
"present","workspace","437","17679100"
"present","workspace","438","15293200"
"present","workspace","439","18528400"
"present","workspace","440","15460700"
"present","workspace","441","14110200"
"present","workspace","442","18485900"
"present","workspace","443","19310800"
"present","workspace","444","14994700"
"present","workspace","445","14637600"
"present","workspace","446","17457100"
"present","workspace","447","17075300"
"present","workspace","448","16858100"
"present","workspace","449","16107600"
"present","workspace","450","16367900"
"present","workspace","451","17848800"
"present","workspace","452","16063400"
