"label","count","p50_ns","p95_ns","p99_ns","min_ns","max_ns","mean_ns","jitter_ns","fps_p50","tag","duration_s","mutex_total_timeouts","mutex_total_acquires","mutex_avg_acquire_us","zc_per_client","fence_total_waits","fence_total_stale","fence_clients","render_windows","render_capture_renders","render_client_renders","render_client_skips","render_capture_avg_us","render_client_avg_us","render_wait_avg_us"
"META","0","0","0","0","0","0","0","0","0","c2-hud-cache-nb-4apps","60","0","0","0","00000266E20F3520:N/window_space_layers;00000266E21305C0:N/window_space_layers;000002668C0501A0:N/window_space_layers;000002668C082210:N/window_space_layers","11858","0","4","5","2992","0","11482","2814.6","0","4.8"
"present:ALL","3470","16463800","19048900","20814000","13952200","31982600","16730802","4350200","60.7","","","","","","","","","","","","","","","",""
"present:workspace","3470","16463800","19048900","20814000","13952200","31982600","16730802","4350200","60.7","","","","","","","","","","","","","","","",""
"frame:ALL","13297","15805600","26384100","36265900","9173400","59216400","16920174","20460300","63.3","","","","","","","","","","","","","","","",""
"frame:000002668C0501A0","3321","15830500","26176900","35778800","9788800","59216400","16891238","19948300","63.2","","","","","","","","","","","","","","","",""
"frame:000002668C082210","3310","15696900","26521300","36720100","9257500","53369400","16910351","21023200","63.7","","","","","","","","","","","","","","","",""
"frame:00000266E20F3520","3357","15767800","26265900","35349800","9228200","50868600","16858833","19582000","63.4","","","","","","","","","","","","","","","",""
"frame:00000266E21305C0","3309","15909000","26454200","36465500","9173400","50662300","17021272","20556500","62.9","","","","","","","","","","","","","","","",""
